	id	start_time	end_time	unit	p_strength	b_strength	b_label
0	LJ005-0079	0.03	0.17	and	1.04	0.084	b0
1	LJ005-0079	0.17	0.58	improve	0.067	1.089	b2
2	LJ005-0079	0.58	0.63	the	0.0	0.0	b0
3	LJ005-0079	0.63	1.09	morals	0.601	0.247	b0
4	LJ005-0079	1.09	1.23	of	0.121	0.0	b0
5	LJ005-0079	1.23	1.29	the	0.153	0.0	b0
6	LJ005-0079	1.29	2.02	prisoners	1.04	1.964	b2
7	LJ005-0079	2.39	2.55	and	1.773	0.0	b0
8	LJ005-0079	2.55	2.81	shall	0.418	0.724	b1
9	LJ005-0079	2.81	3.2	insure	0.015	0.0	b0
10	LJ005-0079	3.2	3.27	the	0.0	0.0	b0
11	LJ005-0079	3.27	3.67	proper	1.173	0.151	b0
12	LJ005-0079	3.67	4.07	measure	0.259	0.32	b0
13	LJ005-0079	4.07	4.21	of	0.0	0.0	b0
14	LJ005-0079	4.21	4.76	punishment	0.915	0.741	b1
15	LJ005-0079	4.76	5.04	to	0.082	0.0	b0
16	LJ005-0079	5.04	5.74	convicted	0.917	0.675	b1
17	LJ005-0079	5.79	6.69	offenders	1.248	1.0	b1
