	id	start_time	end_time	unit	p_strength	b_strength	b_label
0	LJ003-0345	0.2	0.41	all	1.552	0.0	b0
1	LJ003-0345	0.41	0.51	the	0.157	0.0	b0
2	LJ003-0345	0.51	0.9	committee	0.082	0.638	b1
3	LJ003-0345	0.9	1.12	could	0.087	0.0	b0
4	LJ003-0345	1.12	1.39	do	0.611	0.0	b0
5	LJ003-0345	1.39	1.51	in	0.0	0.08	b0
6	LJ003-0345	1.51	1.74	this	0.093	0.537	b1
7	LJ003-0345	1.74	2.41	respect	1.818	2.141	b2
8	LJ003-0345	2.77	2.92	was	1.319	0.0	b0
9	LJ003-0345	2.92	3.05	to	0.248	0.08	b0
10	LJ003-0345	3.05	3.35	throw	0.582	0.027	b0
11	LJ003-0345	3.35	3.45	the	0.0	0.226	b0
12	LJ003-0345	3.45	4.47	responsibility	0.806	0.984	b1
13	LJ003-0345	4.47	4.72	on	0.238	0.0	b0
14	LJ003-0345	4.76	5.48	others	1.556	1.0	b1
